"id","person_name","work"
440,"On Yavin","INX Limited - Advisor"
441,"On Yavin","Cointelligence - CEO"
442,"Jake Yocom-Piatt","Decred -Project Lead"
443,"Adam Cochran","Adam Cochran - Angel Investor"
444,"Adam Cochran","Conestoga College - Partial-Load Faculty"
445,"Adam Cochran","DuckDuckGo - Business Development and Growth"
446,"Adam Cochran","MetaCartel Ventures DAO - Partner"
447,"Chieh Liu","Overbit -CEO & Founder"
448,"Thomas Thornton","Hedge Fund Telemetry - President"
449,"Carylyne Chan","CoinMarketCap -Interim CEO & Chief Strategy Officer"
450,"Ross Ulbricht","Silk Road - Creator"
451,"Sam Bankman-Fried","Alameda Research - CEO"
452,"Sam Bankman-Fried","FTX -CEO"
453,"Lynn Liss","Akoin -COO & Co-Founder"
454,"Jon Karas","Akoin -President & Co-Founder"
455,"Jay Hao","OKX -CEO"
456,"Alysa Xu","OKX -Chief Strategy Officer"
457,"Joel Edgerton","bitFlyer USA -COO"
458,"Ethan Vera","Luxor Technologies - CFO & Co-Founder"
459,"Shunsuke Murasaki","EMURGO -CEO of EMURGO Indonesia"
460,"Pavel Bains","Bluezelle -CEO"
461,"Craig Cobb","Trader Cobb - Managing Director"
462,"John deVadoss","WTIA Cascadia Blockchain Council -Steering Committee"
463,"John deVadoss","ngd enterprise inc - President"
464,"Nathan Batchelor","Crypto Briefing -Lead Bitcoin Analyst SIMETRI"
465,"Eugene Loza","EXCAVO - CEO"
466,"Chun Wang","f2pool - Co-Founder and Managing Partner"
467,"Chun Wang","stakefish -CEO & Founder"
468,"Ruben Merre","NGRAVE - CEO & Founder"
469,"Kain Warwick","Synthetix -Founder"
470,"Brian Armstrong","Coinbase -CEO & Co-Founder"
471,"Paul Claudius","DIA -COO & Co-Founder"
472,"Thor Chan","AAX -CEO"
473,"James Junwoo Kim","Xangle - CEO & Co-Founder"
474,"Alexander Fazel","Cryptonites -Host"
475,"Alexander Fazel","SwissBorg -Chief Partnership Officer"
476,"Mitch Liu","Theta -CEO & Co-Founder"
477,"Raoul Milhado","Elitium - CEO"
478,"Dovey Wan","Keep Network - Investor"
479,"Dovey Wan","Messari -Investor"
480,"Dovey Wan","Celer Network -Investor"
481,"Dovey Wan","Figure - Investor"
482,"Dovey Wan","Ignite -Advisor"
483,"Dovey Wan","Arrington XRP Capital -Advisor"
484,"Dovey Wan","Spacemesh - Board Member"
485,"Dovey Wan","CoinDesk - Advisory Board Member"
486,"Dovey Wan","Primitive Ventures - Founding Partner"
487,"Ken Kodama","CGG Limited - Founder"
488,"Ken Kodama","EMURGO -CEO & Founder"
489,"Dawn Song","UC Berkeley - Professor"
490,"Dawn Song","Oasis Labs - CEO & Founder"
491,"Avi Felman","BlockTower Capital -Head of Trading"
492,"Peter Brandt","Factor -LLC - CEO"
493,"Long Vuong","TomoChain -CEO & Founder"
494,"Ajit Tripathi","Binance -Banking and Payments Partnerships"
495,"Koroush Khaneghah","Market Meditations - Author"
496,"Sanja Kon","UTRUST -CEO"
497,"Andre Cronje","Crypto Briefing -Chief Code Reviewer"
498,"Andre Cronje","yearn.finance -Architect"
499,"Dan Held","Kraken -Growth Lead"
500,"Eric Thies","MarketGod Trading -Founder"
501,"David Zacks","bitFlyer USA -Chief Compliance Officer"
502,"Antoni Trenchev","Nexo -Managing Partner"
503,"Lucas Huang","Tokenlon - Head of Growth"
504,"Jonathan Squires","Currency.com - CEO"
505,"Justin Sun",""
506,"Justin Sun","BitTorrent -CEO"
507,"Justin Sun","TRON -CEO & Founder"
508,"Bobby Ong","Sime Darby Property Berhad - Digital Marketing Manager"
